candidate_id	best_target	similarity	citation_match	bib_match	evidence_url	confidence_note
accident-analysis-and-prevention	elsevier-harvard	1.0000	1.0000	1.0000	https://www.elsevier.com/journals/accident-analysis-and-prevention/0001-4575/guide-for-authors	found in CSL metadata
aci-materials-journal	elsevier-with-titles	1.0000	0.0000	0.0000	https://www.concrete.org/publications/acimaterialsjournal/submittingtoacijournals.aspx	found in CSL metadata
acm-sig-proceedings-long-author-list	elsevier-with-titles	1.0000	0.7500	0.0000	https://www.acm.org/publications/authors/reference-formatting	found in CSL metadata
acm-sig-proceedings	elsevier-with-titles	1.0000	0.7500	0.0000	https://www.acm.org/publications/authors/reference-formatting	found in CSL metadata
acta-anaesthesiologica-scandinavica	elsevier-with-titles	1.0000	0.0000	0.0000	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1399-6576/homepage/ForAuthors.html	found in CSL metadata
acta-chirurgiae-orthopaedicae-et-traumatologiae-cechoslovaca	elsevier-with-titles	1.0000	0.0000	0.0000	http://www.achot.cz/instruction.php	found in CSL metadata
acta-hydrotechnica	elsevier-harvard	1.0000	1.0000	0.0000	https://actahydrotechnica.fgg.uni-lj.si/en/instructions	found in CSL metadata
acta-medica-peruana	elsevier-with-titles	1.0000	1.0000	0.0000	https://amp.cmp.org.pe/index.php/AMP/instructionsforauthors	found in CSL metadata
acta-medica-portuguesa	american-medical-association	1.0000	1.0000	1.0000	https://actamedicaportuguesa.com/eng/normas-de-publicacao	found in CSL metadata
acta-neurochirurgica	elsevier-with-titles	1.0000	0.7500	0.0000	http://www.springer.com/medicine/surgery/journal/701	found in CSL metadata
acta-orthopaedica-belgica	elsevier-with-titles	1.0000	0.0000	0.0000	http://journals.sfu.ca/actaob/index.php/actaob/about/submissions#authorGuidelines	found in CSL metadata
acta-orthopaedica	elsevier-with-titles	1.0000	0.0000	0.0000	https://actaorthop.org/actao/instructionsforauthors	found in CSL metadata
acta-paediatrica	elsevier-with-titles	1.0000	0.0000	0.0000	https://onlinelibrary.wiley.com/page/journal/16512227/homepage/forauthors.html	found in CSL metadata
acta-palaeontologica-polonica	springer-basic-author-date	1.0000	0.6500	0.0000	http://www.app.pan.pl/instruction.html	found in CSL metadata
acta-pharmaceutica-sinica-b	elsevier-with-titles	1.0000	0.0000	0.0000	http://www.elsevier.com/journals/acta-pharmaceutica-sinica-b/2211-3835/guide-for-authors	found in CSL metadata
acta-physica-sinica	elsevier-with-titles	1.0000	1.0000	0.0000	https://wulixb.iphy.ac.cn/news/tougaoxuzhi.htm	found in CSL metadata
